48efcfc2382ae91c65a509bcb1323a88üSean Michael KernerüJedi, eWeek / InternetNews / eSecurity Planet
ce97c78c19ab46ee8f166f1abef8a2a5üSanjary RahmanüSite Reliability Engineer, Booking.com
62baffcab50497258af368081ee3033aüTrevor GrantüOpen Source AI / IoT Evangelist, IBM
62baffcab50497258af368081ee3033aüHolden KarauüDeveloper Advocate, Google
8a8cb2abb6f48e895a3dd7f53502ed78üEduardo SilvaüPrincipal Engineer, Arm / Treasure Data
c50a5efac4ca89351cca58e39049faf7üElsie PhillipsüProduct Marketing Manager, Red Hat
c50a5efac4ca89351cca58e39049faf7üParis PittmanüKubernetes OSS Strategy, Google
68f7acb21c1a848d8466f5e24bb198c9üMax IndenüSenior Software Engineer, Red Hat
68f7acb21c1a848d8466f5e24bb198c9üFrederic BranczyküSoftware Engineer, Red Hat
0af5d5c4d18a919234ea1f836cb8dc77üJonathan BerkhahnüOpen Source Contributor, IBM
565bec319cf7e33d98641ab366f40228üLei ZhangüStaff Engineer, Alibaba
565bec319cf7e33d98641ab366f40228üJeremy RickardüSenior Software Engineer, Microsoft
a108299bd874a3b7c331845cd6be98ddüDa MaüKubernetes Maintainer, SIG-Scheduling Co-Leader, Volcano leader, Huawei
a108299bd874a3b7c331845cd6be98ddüShivram SrivastavaüSystem Engineer, Huawei Technologies
7446844cb64b9d1dcc35e894c16b62fbüVishal PowarüSenior Software Engineer, Google
b9f75ff8ddfd00fe46fb01d63d75d819üMatthias LoiblüSoftware Engineer, Red Hat
b9f75ff8ddfd00fe46fb01d63d75d819üSergiusz UrbaniaküSoftware Engineer, Red Hat
8ab0562f3abccaf66aaa1ed24911667aüSaad AliüSenior Software Engineer, Google
21c25cfa527adca9fe2e4d6d26122ebaüJustin CormacküSecurity Engineer, Docker
83c531ff34e22b86d49c8693dbd55650üArun GuptaüPrincipal Open Source Technologist, Amazon Web Services
83c531ff34e22b86d49c8693dbd55650üDee KumarüVice President, Developer Marketing, Linux Foundation
ea4ac13188b14e58618553a6373dfbb1üStephan FudeusüExpert Continuous Delivery, 1&1 Mail & Media Development & Technology GmbH
